user_number,datetime,Consommation,cluster
47,2016-08-28 02:07:25,0,1
47,2016-08-28 03:07:26,0,1
47,2016-08-28 04:07:26,0,1
47,2016-08-28 05:07:26,0,1
47,2016-08-28 06:07:26,0,1
47,2016-08-28 07:07:24,0,1
47,2016-08-28 08:07:24,0,1
47,2016-08-28 09:07:24,0,1
47,2016-08-28 10:07:24,45,1
47,2016-08-28 11:07:31,0,1
47,2016-08-28 12:07:31,57,1
47,2016-08-28 13:07:31,38,1
47,2016-08-28 14:07:31,10,1
47,2016-08-28 15:07:24,94,1
47,2016-08-28 16:07:24,8,1
47,2016-08-28 17:07:24,8,1
47,2016-08-28 18:07:24,16,1
47,2016-08-28 19:07:25,60,1
47,2016-08-28 20:07:25,13,1
47,2016-08-28 21:07:25,0,1
47,2016-08-28 22:07:25,33,1
47,2016-08-28 23:07:22,14,1
47,2016-08-29 00:07:22,35,1
47,2016-08-29 01:07:22,14,1
47,2016-08-29 02:07:22,1,1
47,2016-08-29 03:07:27,0,1
47,2016-08-29 04:07:27,0,1
47,2016-08-29 05:07:27,0,1
47,2016-08-29 06:07:27,0,1
47,2016-08-29 07:07:23,5,1
47,2016-08-29 08:07:23,5,1
47,2016-08-29 09:07:23,17,1
47,2016-08-29 10:07:23,7,1
47,2016-08-29 11:07:25,8,1
47,2016-08-29 12:07:25,0,1
47,2016-08-29 13:07:25,2,1
47,2016-08-29 14:07:25,24,1
47,2016-08-29 15:07:21,30,1
47,2016-08-29 16:07:21,0,1
47,2016-08-29 17:07:21,29,1
47,2016-08-29 18:07:21,24,1
47,2016-08-29 19:07:23,98,1
47,2016-08-29 20:07:23,8,1
47,2016-08-29 21:07:23,50,1
47,2016-08-29 22:07:23,76,1
47,2016-08-29 23:07:21,19,1
47,2016-08-30 00:07:21,7,1
47,2016-08-30 01:07:21,0,1
47,2016-08-30 02:07:21,0,1
47,2016-08-30 03:07:23,0,1
47,2016-08-30 04:07:23,0,1
47,2016-08-30 05:07:23,0,1
47,2016-08-30 06:07:23,0,1
47,2016-08-30 07:07:20,8,1
47,2016-08-30 08:07:20,12,1
47,2016-08-30 09:07:20,0,1
47,2016-08-30 10:07:20,0,1
47,2016-08-30 11:07:20,0,1
47,2016-08-30 12:07:20,0,1
47,2016-08-30 13:07:20,0,1
47,2016-08-30 14:07:20,0,1
47,2016-08-30 15:07:21,0,1
47,2016-08-30 16:07:21,0,1
47,2016-08-30 17:07:21,0,1
47,2016-08-30 18:07:21,0,1
47,2016-08-30 19:07:22,0,1
47,2016-08-30 20:07:22,0,1
47,2016-08-30 21:07:22,0,1
47,2016-08-30 22:07:22,0,1
47,2016-08-30 23:07:23,0,1
47,2016-08-31 00:07:23,0,1
47,2016-08-31 01:07:23,0,1
47,2016-08-31 02:07:23,0,1
47,2016-08-31 03:07:23,0,1
47,2016-08-31 04:07:23,0,1
47,2016-08-31 05:07:23,0,1
47,2016-08-31 06:07:23,0,1
47,2016-08-31 07:07:18,0,1
47,2016-08-31 08:07:18,0,1
47,2016-08-31 09:07:18,0,1
47,2016-08-31 10:07:18,0,1
47,2016-08-31 11:07:20,0,1
47,2016-08-31 12:07:20,0,1
47,2016-08-31 13:07:20,0,1
47,2016-08-31 14:07:20,0,1
47,2016-08-31 15:07:17,1,1
47,2016-08-31 16:07:17,0,1
47,2016-08-31 17:07:17,0,1
47,2016-08-31 18:07:17,0,1
47,2016-08-31 19:07:19,0,1
47,2016-08-31 20:07:19,0,1
47,2016-08-31 21:07:19,0,1
47,2016-08-31 22:07:19,0,1
47,2016-08-31 23:07:19,0,1
47,2016-09-01 00:07:19,0,1
47,2016-09-01 01:07:19,0,1
47,2016-09-01 02:07:19,0,1
47,2016-09-01 03:07:20,0,1
47,2016-09-01 04:07:20,0,1
47,2016-09-01 05:07:20,0,1
47,2016-09-01 06:07:20,0,1
47,2016-09-01 07:25:42,0,1
47,2016-09-01 08:25:42,47,1
47,2016-09-01 09:25:42,84,1
47,2016-09-01 10:25:42,106,1
47,2016-09-01 11:07:19,52,1
47,2016-09-01 12:07:19,171,1
47,2016-09-01 13:07:19,61,1
47,2016-09-01 14:07:19,0,1
47,2016-09-01 15:07:16,0,1
47,2016-09-01 16:07:16,0,1
47,2016-09-01 17:07:16,0,1
47,2016-09-01 18:07:16,0,1
47,2016-09-01 19:07:17,0,1
47,2016-09-01 20:07:17,0,1
47,2016-09-01 21:07:17,0,1
47,2016-09-01 22:07:17,0,1
47,2016-09-01 23:07:17,0,1
47,2016-09-02 00:07:17,0,1
47,2016-09-02 01:07:17,0,1
47,2016-09-02 02:07:17,0,1
47,2016-09-02 03:07:16,0,1
47,2016-09-02 04:07:16,0,1
47,2016-09-02 05:07:16,0,1
47,2016-09-02 06:07:16,0,1
47,2016-09-02 07:07:15,0,1
47,2016-09-02 08:07:15,10,1
47,2016-09-02 09:07:15,43,1
47,2016-09-02 10:07:15,51,1
47,2016-09-02 11:07:15,35,1
47,2016-09-02 12:07:15,79,1
47,2016-09-02 13:07:15,30,1
47,2016-09-02 14:07:15,0,1
47,2016-09-02 15:07:12,0,1
47,2016-09-02 16:07:12,0,1
47,2016-09-02 17:07:12,0,1
47,2016-09-02 18:07:12,0,1
47,2016-09-02 19:07:15,0,1
47,2016-09-02 20:07:15,0,1
47,2016-09-02 21:07:15,97,1
47,2016-09-02 22:07:15,57,1
47,2016-09-02 23:07:12,48,1
47,2016-09-03 00:07:12,21,1
47,2016-09-03 01:07:12,7,1
47,2016-09-03 02:07:12,0,1
47,2016-09-03 03:07:15,0,1
47,2016-09-03 04:07:15,0,1
47,2016-09-03 05:07:15,7,1
47,2016-09-03 06:07:15,4,1
47,2016-09-03 07:07:14,0,1
47,2016-09-03 08:07:14,20,1
47,2016-09-03 09:07:14,8,1
47,2016-09-03 10:07:14,15,1
47,2016-09-03 11:07:13,7,1
47,2016-09-03 12:07:13,6,1
47,2016-09-03 13:07:13,4,1
47,2016-09-03 14:07:13,45,1
47,2016-09-03 15:07:13,45,1
47,2016-09-03 16:07:13,0,1
47,2016-09-03 17:07:13,27,1
47,2016-09-03 18:07:13,24,1
47,2016-09-03 19:07:14,8,1
47,2016-09-03 20:07:14,13,1
47,2016-09-03 21:07:14,19,1
47,2016-09-03 22:07:14,6,1
47,2016-09-03 23:07:10,61,1
47,2016-09-04 00:07:10,1,1
47,2016-09-04 01:07:10,16,1
47,2016-09-04 02:07:10,0,1
47,2016-09-04 03:07:14,0,1
47,2016-09-04 04:07:14,0,1
47,2016-09-04 05:07:14,0,1
47,2016-09-04 06:07:14,0,1
47,2016-09-04 07:07:12,0,1
47,2016-09-04 08:07:12,0,1
47,2016-09-04 09:07:12,9,1
47,2016-09-04 10:07:12,25,1
47,2016-09-04 11:07:13,1,1
47,2016-09-04 12:07:13,44,1
47,2016-09-04 13:07:13,13,1
47,2016-09-04 14:07:13,4,1
47,2016-09-04 15:07:14,36,1
47,2016-09-04 16:07:14,6,1
47,2016-09-04 17:07:14,8,1
47,2016-09-04 18:07:14,14,1
47,2016-09-04 19:07:12,17,1
47,2016-09-04 20:07:12,103,1
47,2016-09-04 21:07:12,0,1
47,2016-09-04 22:07:12,0,1
47,2016-09-04 23:07:09,26,1
47,2016-09-05 00:07:09,7,1
47,2016-09-05 01:07:09,14,1
47,2016-09-05 02:07:09,0,1
47,2016-09-05 03:07:11,0,1
47,2016-09-05 04:07:11,0,1
47,2016-09-05 05:07:11,0,1
47,2016-09-05 06:07:11,0,1
47,2016-09-05 07:07:09,2,1
47,2016-09-05 08:07:09,8,1
47,2016-09-05 09:07:09,17,1
47,2016-09-05 10:07:09,54,1
47,2016-09-05 11:07:10,8,1
47,2016-09-05 12:07:10,0,1
47,2016-09-05 13:07:10,0,1
47,2016-09-05 14:07:10,66,1
47,2016-09-05 15:07:09,34,1
47,2016-09-05 16:07:09,8,1
47,2016-09-05 17:07:09,40,1
47,2016-09-05 18:07:09,3,1
47,2016-09-05 19:07:09,0,1
47,2016-09-05 20:07:09,0,1
47,2016-09-05 21:07:09,0,1
47,2016-09-05 22:07:09,0,1
47,2016-09-05 23:07:08,20,1
47,2016-09-06 00:07:08,2,1
47,2016-09-06 01:07:08,9,1
47,2016-09-06 02:07:08,0,1
47,2016-09-06 03:07:11,0,1
47,2016-09-06 04:07:11,0,1
47,2016-09-06 05:07:11,0,1
47,2016-09-06 06:07:11,0,1
47,2016-09-06 07:07:06,0,1
47,2016-09-06 08:07:06,4,1
47,2016-09-06 09:07:06,69,1
47,2016-09-06 10:07:06,90,1
47,2016-09-06 11:07:08,27,1
47,2016-09-06 12:07:08,47,1
47,2016-09-06 13:07:08,46,1
47,2016-09-06 14:07:08,4,1
47,2016-09-06 15:07:08,52,1
47,2016-09-06 16:07:08,37,1
47,2016-09-06 17:07:08,37,1
47,2016-09-06 18:07:08,9,1
47,2016-09-06 19:07:07,56,1
47,2016-09-06 20:07:07,1,1
47,2016-09-06 21:07:07,16,1
47,2016-09-06 22:07:07,46,1
47,2016-09-06 23:07:08,31,1
47,2016-09-07 00:07:08,8,1
47,2016-09-07 01:07:08,13,1
47,2016-09-07 02:07:08,7,1
47,2016-09-07 03:07:07,5,1
47,2016-09-07 04:07:07,2,1
47,2016-09-07 05:07:07,5,1
47,2016-09-07 06:07:07,6,1
47,2016-09-07 07:07:05,6,1
47,2016-09-07 08:07:05,18,1
47,2016-09-07 09:07:05,47,1
47,2016-09-07 10:07:05,74,1
47,2016-09-07 11:07:06,38,1
47,2016-09-07 12:07:06,29,1
47,2016-09-07 13:07:06,1,1
47,2016-09-07 14:07:06,0,1
47,2016-09-07 15:07:05,27,1
47,2016-09-07 16:07:05,36,1
47,2016-09-07 17:07:05,23,1
47,2016-09-07 18:07:05,15,1
47,2016-09-07 19:07:07,6,1
47,2016-09-07 20:07:07,51,1
47,2016-09-07 21:07:07,58,1
47,2016-09-07 22:07:07,43,1
47,2016-09-07 23:07:09,57,1
47,2016-09-08 00:07:09,7,1
47,2016-09-08 01:07:09,0,1
