user_number,datetime,Consommation,cluster,anomalie,type
0_39,2016-03-10 16:02:31,1,0,0,pas d'anomalie
0_39,2016-03-10 17:02:31,6,0,0,pas d'anomalie
0_39,2016-03-10 18:02:31,0,0,0,pas d'anomalie
0_39,2016-03-10 19:02:29,6,0,0,pas d'anomalie
0_39,2016-03-10 20:02:29,80,0,0,pas d'anomalie
0_39,2016-03-10 21:02:29,2,0,0,pas d'anomalie
0_39,2016-03-10 22:02:29,0,0,0,pas d'anomalie
0_39,2016-03-10 23:02:30,0,0,0,pas d'anomalie
0_39,2016-03-11 00:02:30,0,0,0,pas d'anomalie
0_39,2016-03-11 01:02:30,0,0,0,pas d'anomalie
0_39,2016-03-11 02:02:30,24,0,0,pas d'anomalie
0_39,2016-03-11 03:02:28,0,0,0,pas d'anomalie
0_39,2016-03-11 04:02:28,13,0,0,pas d'anomalie
0_39,2016-03-11 05:02:28,0,0,0,pas d'anomalie
0_39,2016-03-11 06:02:28,24,0,0,pas d'anomalie
0_39,2016-03-11 07:02:36,0,0,0,pas d'anomalie
0_39,2016-03-11 08:02:36,68,0,0,pas d'anomalie
0_39,2016-03-11 09:02:36,1,0,0,pas d'anomalie
0_39,2016-03-11 10:02:36,0,0,0,pas d'anomalie
0_39,2016-03-11 11:02:27,1,0,0,pas d'anomalie
0_39,2016-03-11 12:02:27,0,0,0,pas d'anomalie
0_39,2016-03-11 13:02:27,7,0,0,pas d'anomalie
0_39,2016-03-11 14:02:27,0,0,0,pas d'anomalie
0_39,2016-03-11 15:02:38,0,0,0,pas d'anomalie
0_39,2016-03-11 16:02:38,0,0,0,pas d'anomalie
0_39,2016-03-11 17:02:38,14,0,0,pas d'anomalie
0_39,2016-03-11 18:02:38,0,0,0,pas d'anomalie
0_39,2016-03-11 19:02:27,8,0,0,pas d'anomalie
0_39,2016-03-11 20:02:27,23,0,0,pas d'anomalie
0_39,2016-03-11 21:02:27,7,0,0,pas d'anomalie
0_39,2016-03-11 22:02:27,0,0,0,pas d'anomalie
0_39,2016-03-11 23:01:46,0,0,0,pas d'anomalie
0_39,2016-03-12 00:01:46,11,0,0,pas d'anomalie
0_39,2016-03-12 01:01:46,4,0,0,pas d'anomalie
0_39,2016-03-12 02:01:46,0,0,0,pas d'anomalie
0_39,2016-03-12 03:01:43,9,0,0,pas d'anomalie
0_39,2016-03-12 04:01:43,0,0,0,pas d'anomalie
0_39,2016-03-12 05:01:43,0,0,0,pas d'anomalie
0_39,2016-03-12 06:01:43,0,0,0,pas d'anomalie
0_39,2016-03-12 07:02:47,0,0,0,pas d'anomalie
0_39,2016-03-12 08:02:47,0,0,0,pas d'anomalie
0_39,2016-03-12 09:02:47,27,0,0,pas d'anomalie
0_39,2016-03-12 10:02:47,25,0,0,pas d'anomalie
0_39,2016-03-12 15:02:29,52,0,0,pas d'anomalie
0_39,2016-03-12 16:02:29,0,0,0,pas d'anomalie
0_39,2016-03-12 17:02:29,0,0,0,pas d'anomalie
0_39,2016-03-12 18:02:29,1,0,0,pas d'anomalie
0_39,2016-03-12 19:02:27,5,0,0,pas d'anomalie
0_39,2016-03-12 20:02:27,13,0,0,pas d'anomalie
0_39,2016-03-12 21:02:27,0,0,0,pas d'anomalie
0_39,2016-03-12 22:02:27,6,0,0,pas d'anomalie
0_39,2016-04-01 00:01:58,7,0,0,pas d'anomalie
0_39,2016-04-01 01:01:58,0,0,0,pas d'anomalie
